id,proba
800,0.22618529
801,0.4278745
802,0.14368838
803,0.5674326
804,0.37074357
805,0.12643625
806,0.19217269
807,0.4151539
808,0.22026682
809,0.5509417
810,0.7067701
811,0.3409037
812,0.017242413
813,0.5791526
814,0.037019722
815,0.9391091
816,0.34835038
817,0.07294874
818,0.76640946
819,0.41222176
820,0.78970045
821,0.32219872
822,0.35842618
823,0.10350196
824,0.46466777
825,0.55871975
826,0.14306632
827,0.5724037
828,0.018340757
829,0.81061995
830,0.8711202
831,0.6583212
832,0.7067725
833,0.42848122
834,0.04281546
835,0.6744073
836,0.9617891
837,0.113132566
838,0.002526578
839,0.6923223
840,0.2395262
841,0.780959
842,0.44861898
843,0.6684426
844,0.6220771
845,0.106513165
846,0.27424452
847,0.98631996
848,0.056839347
849,0.18344916
850,0.34243107
851,0.04717571
852,0.2615782
853,0.10924764
854,0.94942784
855,0.92948604
856,0.5976706
857,0.36797187
858,0.14057973
859,0.035577938
860,0.113640435
861,0.97031873
862,0.031824723
863,0.5840282
864,0.02137289
865,0.31987202
866,0.09833001
867,0.5293273
868,0.79166114
869,0.2063272
870,0.67564356
871,0.016722398
872,0.051689178
873,0.85391194
874,0.071681865
875,0.28218496
876,0.07353409
877,0.77769625
878,0.05788247
879,0.3322778
880,0.053647637
881,0.23467122
882,0.27968898
883,0.30171347
884,0.22219251
885,0.35717246
886,0.16739845
887,0.92231786
888,0.88145155
889,0.20179267
890,0.29600388
891,0.5385746
892,0.101372875
893,0.1910451
894,0.8046164
895,0.19174992
896,0.31875515
897,0.2533709
898,0.11853276
899,0.07636291
900,0.20886087
901,0.53962684
902,0.09733333
903,0.54816747
904,0.6333089
905,0.053931516
906,0.015940119
907,0.7305136
908,0.27547732
909,0.5203717
910,0.98399496
911,0.3563049
912,0.42207783
913,0.1296116
914,0.15966657
915,0.95212036
916,0.017876461
917,0.06531758
918,0.12275014
919,0.070907876
920,0.8671491
921,0.9611484
922,0.51061195
923,0.19791469
924,0.3122067
925,0.51066804
926,0.2810717
927,0.06393843
928,0.80015856
929,0.66840124
930,0.04392643
931,0.7632038
932,0.87733847
933,0.7205231
934,0.34020975
935,0.86147165
936,0.66589665
937,0.18285364
938,0.39210585
939,0.20273109
940,0.34288627
941,0.14059944
942,0.7496282
943,0.055756126
944,0.108745076
945,0.8455797
946,0.109311804
947,0.37329793
948,0.9048553
949,0.16071096
950,0.5160959
951,0.12945
952,0.052008513
953,0.95767605
954,0.3963486
955,0.32378316
956,0.09697136
957,0.13054733
958,0.09703185
959,0.112123325
960,0.1359102
961,0.9510308
962,0.6106301
963,0.44371012
964,0.37838277
965,0.73283494
966,0.43817914
967,0.4938925
968,0.71631587
969,0.01674169
970,0.28548443
971,0.65246713
972,0.12587798
973,0.06582008
974,0.90310585
975,0.5859785
976,0.16320428
977,0.75762606
978,0.6787291
979,0.8603607
980,0.20081025
981,0.82270503
982,0.6761003
983,0.049676057
984,0.1657498
985,0.12332006
986,0.7491982
987,0.16927886
988,0.015739689
989,0.38602653
990,0.12657048
991,0.75243896
992,0.19414921
993,0.13332318
994,0.36785746
995,0.3765598
996,0.069369376
997,0.861502
998,0.37009683
999,0.22221383
